Username,number- not needed,Email,Password,First Name,Last Name,Pronouns,University,Birthday,Academic Skills,Fitness Interests,Getting Help,Giving Help,Ratings,Profile Picture,Bio,Major,Grad Year
LucasNguyen7,7,LucasNguyen@uni.edu,j1R!t7Mg3@,Lucas,Nguyen,He/Him,University of Wisconsin-Madison,3/5/98, Writing,Weighlifting,yes,yes,2,,"Hi there, my name is Lucas Nguyen! Some of my interests include Weighlifting, and  Writing, and my major is Philosophy. Can't wait to meet you!",Philosophy,2026
LilyHernandez3,3,LilyHernandez@uni.edu,x4N%r6Hg!9,Lily,Hernandez,She/Her,Indiana University Bloomington,7/21/94,Calculus,Pilates,yes,yes,2,,"Hi there, my name is Lily Hernandez! Some of my interests include Pilates, and Calculus, and my major is Art History. Can't wait to meet you!",Art History,2015
WyattGarcia1,1,WyattGarcia@uni.edu,d9K!o7Pz*2,Wyatt,Garcia,He/Him,University of Maryland,11/14/00,"Geometry, Algebra","Strength, Swimming, Zumba",yes,yes,5,,"Hi there, my name is Wyatt Garcia! Some of my interests include Strength, Swimming, Zumba, and Geometry, Algebra, and my major is Human Resource Management. Can't wait to meet you!",Human Resource Management,2027
AbigailWang9,9,AbigailWang@uni.edu,w3X*v5Lg!8,Abigail,Wang,She/Her,University of Michigan,5/2/97,"Physics, Biology, History",Running,yes,,5,,"Hi there, my name is Abigail Wang! Some of my interests include Running, and Physics, Biology, History, and my major is International Relations. Can't wait to meet you!",International Relations,2015
OliverJohnson6,6,OliverJohnson@uni.edu,g2A!b9Qz@4,Oliver,Johnson,He/Him,Michigan State University ,8/13/95,"Science, Philosophy","Dance, Hiking, Pilates, Walking, Weightlifting",yes,,4,,"Hi there, my name is Oliver Johnson! Some of my interests include Dance, Hiking, Pilates, Walking, Weightlifting, and Science, Philosophy, and my major is Civil Engineering. Can't wait to meet you!",Civil Engineering,2016
EllaSilva9,9,EllaSilva@uni.edu,f7H!u4Jy5@,Ella,Silva,She/Her,Ohio State University,1/26/01,"Probability, Writing","Golfing, Yoga, Zumba",yes,,2,,"Hi there, my name is Ella Silva! Some of my interests include Golfing, Yoga, Zumba, and Probability, Writing, and my major is Music. Can't wait to meet you!",Music,2017
SamuelLopez5,5,SamuelLopez@uni.edu,s6P@r3Yz*8,Samuel,Lopez,He/Him,Pennsylvania State University,6/18/98,"Political Science, Sociology, Statistics","CrossFit, Running, Strength",yes,,2,,"Hi there, my name is Samuel Lopez! Some of my interests include CrossFit, Running, Strength, and Political Science, Sociology, Statistics, and my major is Social Work. Can't wait to meet you!",Social Work,2018
AddisonTakahashi4,4,AddisonTakahashi@uni.edu,b9E@v3Ug1*,Addison,Takahashi,They/Them,Rutgers University,12/7/99,Finite Math,"Boxing, Cardio, Cycling, Dance, Hiking",yes,,4,,"Hi there, my name is Addison Takahashi! Some of my interests include Boxing, Cardio, Cycling, Dance, Hiking, and Finite Math, and my major is Chemistry. Can't wait to meet you!",Chemistry,2019
LeviAli8,8,LeviAli@uni.edu,o5N@l8Zi7*,Levi,Ali,He/Him,University of Illinois - Urbana Champaign,4/24/96,"Computer Science, Trigonometry","Weightlifting, Yoga, Zumba",yes,,4,,"Hi there, my name is Levi Ali! Some of my interests include Weightlifting, Yoga, Zumba, and Computer Science, Trigonometry, and my major is Film Studies. Can't wait to meet you!",Film Studies,2020
AmeliaMartinez5,5,AmeliaMartinez@uni.edu,h2T*g5Wu9@,Amelia,Martinez,She/Her,University of Minnesota,10/1/02,"Chemistry, Probability, Economics","Golfing, Pilates, Walking",yes,,2,,"Hi there, my name is Amelia Martinez! Some of my interests include Golfing, Pilates, Walking, and Chemistry, Probability, Economics, and my major is Accounting. Can't wait to meet you!",Accounting,2021
CalebKimura7,7,CalebKimura@uni.edu,r4V%i9Mz*6,Caleb,Kimura,He/Him,University of Nebraska,2/11/97,"Foreign Languages, Music",,yes,,3,,"Hi there, my name is Caleb Kimura! Some of my interests include , and Foreign Languages, Music, and my major is Linguistics. Can't wait to meet you!",Linguistics,2022
ZoeMurphy4,4,ZoeMurphy@uni.edu,p3D*z8Lw#7,Zoe,Murphy,They/Them,Northwestern University,8/29/01,"Speaking, Literature","CrossFit, Cycling, Yoga",yes,,5,,"Hi there, my name is Zoe Murphy! Some of my interests include CrossFit, Cycling, Yoga, and Speaking, Literature, and my major is Marketing. Can't wait to meet you!",Marketing,2023
OwenSingh4,4,OwenSingh@uni.edu,c6Q!j2Rz*9,Owen,Singh,He/Him,Purdue University,11/20/94,"Math, Accounting, Geography","Boxing, Dance, Hiking, Weightlifting",yes,,5,,"Hi there, my name is Owen Singh! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and Math, Accounting, Geography, and my major is Geology. Can't wait to meet you!",Geology,2024
AuroraDavis5,5,AuroraDavis@uni.edu,n7B!m4Sg*1,Aurora,Davis,They/Them,University of Wisconsin-Madison,5/6/00,"Psychology, Physics","Cardio, Golfing, Pilates, Zumba",yes,,5,,"Hi there, my name is Aurora Davis! Some of my interests include Cardio, Golfing, Pilates, Zumba, and Psychology, Physics, and my major is Architecture. Can't wait to meet you!",Architecture,2025
HenryLee6,6,HenryLee@uni.edu,k2X!a6Pb7*,Henry,Lee,He/Him,Indiana University Bloomington,9/15/98,"Sociology, Writing","Running, Strength, Weightlifting",yes,,5,,"Hi there, my name is Henry Lee! Some of my interests include Running, Strength, Weightlifting, and Sociology, Writing, and my major is Nutrition. Can't wait to meet you!",Nutrition,2026
PenelopeSantos5,5,PenelopeSantos@uni.edu,w8L!p4Gy6*,Penelope,Santos,She/Her,University of Maryland,3/2/95,"History, Political Science","Boxing, Cycling, Martial Arts, Yoga",yes,,3,,"Hi there, my name is Penelope Santos! Some of my interests include Boxing, Cycling, Martial Arts, Yoga, and History, Political Science, and my major is Political Science. Can't wait to meet you!",Political Science,2015
JacksonRossi4,4,JacksonRossi@uni.edu,t3J@k5Uz*2,Jackson,Rossi,He/Him,University of Michigan,7/11/99,"Algebra, Science",Running,yes,,4,,"Hi there, my name is Jackson Rossi! Some of my interests include Running, and Algebra, Science, and my major is Computer Engineering. Can't wait to meet you!",Computer Engineering,2027
GraceSmith6,6,GraceSmith@uni.edu,i7F!r4Nz#9,Grace,Smith,They/Them,Michigan State University ,1/17/96,"Probability, Economics","Golfing, Zumba",yes,,2,,"Hi there, my name is Grace Smith! Some of my interests include Golfing, Zumba, and Probability, Economics, and my major is Spanish. Can't wait to meet you!",Spanish,2015
CarterKim1,1,CarterKim@uni.edu,x6H@t3Vz!5,Carter,Kim,He/Him,Ohio State University,6/24/02,"Music, Statistics, Philosophy","Cardio, CrossFit, Weightlifting",yes,,5,,"Hi there, my name is Carter Kim! Some of my interests include Cardio, CrossFit, Weightlifting, and Music, Statistics, Philosophy, and my major is Sociology. Can't wait to meet you!",Sociology,2016
RileyRodriguez5,5,RileyRodriguez@uni.edu,s1M!d8Xu6@,Riley,Rodriguez,They/Them,Pennsylvania State University,10/10/97,"Biology, Calculus","Boxing, Running, Strength, Yoga",yes,,5,,"Hi there, my name is Riley Rodriguez! Some of my interests include Boxing, Running, Strength, Yoga, and Biology, Calculus, and my major is Biomedical Engineering. Can't wait to meet you!",Biomedical Engineering,2017
DanielPatel6,6,DanielPatel@uni.edu,e4Y*h9Tb3@,Daniel,Patel,He/Him,Rutgers University,4/30/98,"Foreign Languages, Trigonometry",Zumba,yes,,5,,"Hi there, my name is Daniel Patel! Some of my interests include Zumba, and Foreign Languages, Trigonometry, and my major is Theater Arts. Can't wait to meet you!",Theater Arts,2018
AaliyahNguyen9,9,AaliyahNguyen@uni.edu,j2I%l7Sx!5,Aaliyah,Nguyen,She/Her,University of Illinois - Urbana Champaign,12/13/01,"Geometry, Literature","Dance, Hiking, Weightlifting, Zumba",yes,,3,,"Hi there, my name is Aaliyah Nguyen! Some of my interests include Dance, Hiking, Weightlifting, Zumba, and Geometry, Literature, and my major is Economics. Can't wait to meet you!",Economics,2019
MasonHernandez7,7,MasonHernandez@uni.edu,z5G!a1Nv6*,Mason,Hernandez,He/Him,University of Minnesota,8/22/95,"Computer Science, Sociology","Cardio, CrossFit, Golfing, Swimming",yes,,4,,"Hi there, my name is Mason Hernandez! Some of my interests include Cardio, CrossFit, Golfing, Swimming, and Computer Science, Sociology, and my major is Environmental Studies. Can't wait to meet you!",Environmental Studies,2020
LucyGarcia8,8,LucyGarcia@uni.edu,u9K@v3Ez!1,Lucy,Garcia,She/Her,University of Nebraska,2/5/00,Speaking,"Boxing, Yoga",yes,,4,,"Hi there, my name is Lucy Garcia! Some of my interests include Boxing, Yoga, and Speaking, and my major is Mechanical Engineering. Can't wait to meet you!",Mechanical Engineering,2021
JaydenWang7,7,JaydenWang@uni.edu,q2O*y4Ck7@,Jayden,Wang,He/Him,Northwestern University,5/19/96,"Finite Math, Writing","Dance, Martial Arts, Pilates, Running",yes,,5,,"Hi there, my name is Jayden Wang! Some of my interests include Dance, Martial Arts, Pilates, Running, and Finite Math, Writing, and my major is Public Relations. Can't wait to meet you!",Public Relations,2022
AvaJohnson7,7,AvaJohnson@uni.edu,g6R*w3Fv5@,Ava,Johnson,She/Her,Purdue University,3/14/98,"Physics, Chemistry",Dance,yes,,5,,"Hi there, my name is Ava Johnson! Some of my interests include Dance, and Physics, Chemistry, and my major is Mathematics. Can't wait to meet you!",Mathematics,2023
SebastianSilva5,5,SebastianSilva@uni.edu,m4H*g2Tj8@,Sebastian,Silva,He/Him,University of Wisconsin-Madison,5/22/97,"Political Science, Geography, Algebra","Martial Arts, Running, Strength, Swimming",yes,,4,,"Hi there, my name is Sebastian Silva! Some of my interests include Martial Arts, Running, Strength, Swimming, and Political Science, Geography, Algebra, and my major is Psychology. Can't wait to meet you!",Psychology,2024
HarperLopez1,1,HarperLopez@uni.edu,i9B%x6Lz!7,Harper,Lopez,They/Them,Indiana University Bloomington,11/8/99,"Math, Probability",Running,yes,,2,,"Hi there, my name is Harper Lopez! Some of my interests include Running, and Math, Probability, and my major is Business Management. Can't wait to meet you!",Business Management,2025
ElijahTakahashi8,8,ElijahTakahashi@uni.edu,t3P@u8Dy5*,Elijah,Takahashi,He/Him,University of Maryland,9/30/00,"Science, Statistics","Dance, Hiking, Pilates, Swimming, Walking",yes,,3,,"Hi there, my name is Elijah Takahashi! Some of my interests include Dance, Hiking, Pilates, Swimming, Walking, and Science, Statistics, and my major is History. Can't wait to meet you!",History,2026
StellaAli5,5,StellaAli@uni.edu,b4N%c7Qz!9,Stella,Ali,She/Her,University of Michigan,7/12/96,"Psychology, Music",Dance,yes,,5,,"Hi there, my name is Stella Ali! Some of my interests include Dance, and Psychology, Music, and my major is Physics. Can't wait to meet you!",Physics,2015
LiamMartinez5,5,LiamMartinez@uni.edu,o1Z*w7Vg!8,Liam,Martinez,He/Him,Michigan State University ,2/18/01,"Calculus, History","Cardio, CrossFit, Golfing, Swimming",yes,,2,,"Hi there, my name is Liam Martinez! Some of my interests include Cardio, CrossFit, Golfing, Swimming, and Calculus, History, and my major is Nursing. Can't wait to meet you!",Nursing,2027
LaylaKimura8,8,LaylaKimura@uni.edu,f8K%i4Ae3*,Layla,Kimura,She/Her,Ohio State University,6/25/97,"Foreign Languages, Writing","Boxing, Yoga",yes,,3,,"Hi there, my name is Layla Kimura! Some of my interests include Boxing, Yoga, and Foreign Languages, Writing, and my major is Graphic Design. Can't wait to meet you!",Graphic Design,2015
AlexanderMurphy1,1,AlexanderMurphy@uni.edu,h6J%i5Xz!2,Alexander,Murphy,He/Him,Pennsylvania State University,12/4/98,"Probability, Sociology, Philosophy","Dance, Martial Arts, Pilates, Running",yes,,2,,"Hi there, my name is Alexander Murphy! Some of my interests include Dance, Martial Arts, Pilates, Running, and Probability, Sociology, Philosophy, and my major is Philosophy. Can't wait to meet you!",Philosophy,2016
PeytonSingh6,6,PeytonSingh@uni.edu,p9E*i7Yk3@,Peyton,Singh,They/Them,Rutgers University,8/17/02,"Geometry, Economics",Dance,yes,,2,,"Hi there, my name is Peyton Singh! Some of my interests include Dance, and Geometry, Economics, and my major is English. Can't wait to meet you!",English,2017
BenjaminDavis4,4,BenjaminDavis@uni.edu,r4Z%i6Fz@1,Benjamin,Davis,He/Him,University of Illinois - Urbana Champaign,4/29/95,"Trigonometry, Accounting, Political Science","Martial Arts, Running, Strength, Swimming",yes,,3,,"Hi there, my name is Benjamin Davis! Some of my interests include Martial Arts, Running, Strength, Swimming, and Trigonometry, Accounting, Political Science, and my major is Communication Studies. Can't wait to meet you!",Communication Studies,2018
HannahLee8,8,HannahLee@uni.edu,n8U!l2Gy3@,Hannah,Lee,She/Her,University of Minnesota,10/11/01,"Literature, Biology",Martial Arts,yes,yes,4,,"Hi there, my name is Hannah Lee! Some of my interests include Martial Arts, and Literature, Biology, and my major is Sociology. Can't wait to meet you!",Sociology,2019
JulianSantos2,2,JulianSantos@uni.edu,d5K%b8Mz!6,Julian,Santos,He/Him,University of Nebraska,1/23/96,"Chemistry, Speaking","Dance, Hiking, Pilates, Swimming, Walking",yes,yes,4,,"Hi there, my name is Julian Santos! Some of my interests include Dance, Hiking, Pilates, Swimming, Walking, and Chemistry, Speaking, and my major is Finance. Can't wait to meet you!",Finance,2020
VictoriaRossi2,2,VictoriaRossi@uni.edu,a3S!h8Wz*1,Victoria,Rossi,She/Her,Northwestern University,7/2/00,"Music, Finite Math","Boxing, Cardio, Cycling, Dance, Hiking",yes,yes,5,,"Hi there, my name is Victoria Rossi! Some of my interests include Boxing, Cardio, Cycling, Dance, Hiking, and Music, Finite Math, and my major is Political Science. Can't wait to meet you!",Political Science,2021
ChristopherSmith2,2,ChristopherSmith@uni.edu,c7Q%i2Rg!9,Christopher,Smith,He/Him,Purdue University,9/19/97,"Physics, Statistics","Weightlifting, Yoga, Zumba",yes,yes,3,,"Hi there, my name is Christopher Smith! Some of my interests include Weightlifting, Yoga, Zumba, and Physics, Statistics, and my major is Marketing. Can't wait to meet you!",Marketing,2022
EleanorKim5,5,EleanorKim@uni.edu,j5T!y7Oz*4,Eleanor,Kim,She/Her,University of Wisconsin-Madison,3/8/99,"Algebra, Probability","Golfing, Pilates, Walking",,yes,3,,"Hi there, my name is Eleanor Kim! Some of my interests include Golfing, Pilates, Walking, and Algebra, Probability, and my major is Anthropology. Can't wait to meet you!",Anthropology,2023
OwenRodriguez4,4,OwenRodriguez@uni.edu,x1N%v3Fz*6,Owen,Rodriguez,He/Him,Indiana University Bloomington,11/27/94,"Writing, Computer Science, History",Running,yes,yes,5,,"Hi there, my name is Owen Rodriguez! Some of my interests include Running, and Writing, Computer Science, History, and my major is Chemistry. Can't wait to meet you!",Chemistry,2024
ScarlettPatel7,7,ScarlettPatel@uni.edu,w4D%r8Bz!7,Scarlett,Patel,She/Her,University of Maryland,5/15/02,"Sociology, Geometry","CrossFit, Cycling, Yoga",yes,yes,5,,"Hi there, my name is Scarlett Patel! Some of my interests include CrossFit, Cycling, Yoga, and Sociology, Geometry, and my major is Criminal Justice. Can't wait to meet you!",Criminal Justice,2025
IsaacNguyen2,2,IsaacNguyen@uni.edu,z9S*u1Mk2@,Isaac,Nguyen,He/Him,University of Michigan,8/6/98,"Science, Philosophy, Economics","Boxing, Dance, Hiking, Weightlifting",yes,yes,3,,"Hi there, my name is Isaac Nguyen! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and Science, Philosophy, Economics, and my major is Environmental Science. Can't wait to meet you!",Environmental Science,2026
AriaHernandez6,6,AriaHernandez@uni.edu,g7V*i4Lz!3,Aria,Hernandez,She/Her,Michigan State University ,12/31/01,"Probability, Calculus",Cardio,,yes,2,,"Hi there, my name is Aria Hernandez! Some of my interests include Cardio, and Probability, Calculus, and my major is Music. Can't wait to meet you!",Music,2015
JacobGarcia1,1,JacobGarcia@uni.edu,l5Q@k7Hx!2,Jacob,Garcia,He/Him,Ohio State University,6/9/96,"Foreign Languages, Trigonometry","Running, Strength, Weightlifting",yes,yes,3,,"Hi there, my name is Jacob Garcia! Some of my interests include Running, Strength, Weightlifting, and Foreign Languages, Trigonometry, and my major is Education. Can't wait to meet you!",Education,2027
MadelineWang3,3,MadelineWang@uni.edu,b6R*c8Gz@1,Madeline,Wang,She/Her,Pennsylvania State University,2/14/00,"Literature, Political Science, Psychology","Boxing, Cycling, Martial Arts, Yoga",yes,yes,2,,"Hi there, my name is Madeline Wang! Some of my interests include Boxing, Cycling, Martial Arts, Yoga, and Literature, Political Science, Psychology, and my major is Business Administration. Can't wait to meet you!",Business Administration,2015
EthanJohnson5,5,EthanJohnson@uni.edu,e3X@l7Wz!9,Ethan,Johnson,He/Him,Rutgers University,10/23/95,"Accounting, Music","Yoga, Walking",yes,,5,,"Hi there, my name is Ethan Johnson! Some of my interests include Yoga, Walking, and Accounting, Music, and my major is Physics. Can't wait to meet you!",Physics,2016
ZoeySilva4,4,ZoeySilva@uni.edu,k2F!p5Mz@1,Zoey,Silva,She/Her,University of Illinois - Urbana Champaign,4/7/97,"History, Statistics","Golfing, Zumba",yes,,5,,"Hi there, my name is Zoey Silva! Some of my interests include Golfing, Zumba, and History, Statistics, and my major is History. Can't wait to meet you!",History,2017
SamuelLopez1,1,SamuelLopez@uni.edu,y8I%b6Nz@1,Samuel,Lopez,He/Him,University of Minnesota,1/11/02,"Chemistry, Sociology","Cardio, CrossFit, Weightlifting",yes,,5,,"Hi there, my name is Samuel Lopez! Some of my interests include Cardio, CrossFit, Weightlifting, and Chemistry, Sociology, and my major is Journalism. Can't wait to meet you!",Journalism,2018
AubreyTakahashi7,7,AubreyTakahashi@uni.edu,q9Yi5Jz3,Aubrey,Takahashi,She/Her,University of Nebraska,9/28/99,"Writing, Biology","Boxing, Running, Strength, Yoga",yes,,2,,"Hi there, my name is Aubrey Takahashi! Some of my interests include Boxing, Running, Strength, Yoga, and Writing, Biology, and my major is Mechanical Engineering. Can't wait to meet you!",Mechanical Engineering,2019
NathanAli6,6,NathanAli@uni.edu,u4G%i2Xy1@,Nathan,Ali,He/Him,Northwestern University,3/5/98,"Finite Math, Physics","Cycling, Martial Arts, Pilates, Walking",yes,,5,,"Hi there, my name is Nathan Ali! Some of my interests include Cycling, Martial Arts, Pilates, Walking, and Finite Math, Physics, and my major is Graphic Design. Can't wait to meet you!",Graphic Design,2020
AddisonMartinez4,4,AddisonMartinez@uni.edu,o3B%i7Pz@1,Addison,Martinez,She/Her,Purdue University,7/21/94,Geometry,"CrossFit, Cycling, Yoga",yes,,5,,"Hi there, my name is Addison Martinez! Some of my interests include CrossFit, Cycling, Yoga, and Geometry, and my major is Sociology. Can't wait to meet you!",Sociology,2021
DavidKimura2,2,DavidKimura@uni.edu,s6J%i9Rz!4,David,Kimura,He/Him,University of Wisconsin-Madison,11/14/00,"Probability, Biology","Boxing, Dance, Hiking, Weightlifting",yes,yes,4,,"Hi there, my name is David Kimura! Some of my interests include Boxing, Dance, Hiking, Weightlifting, and Probability, Biology, and my major is Nutrition. Can't wait to meet you!",Nutrition,2022
